BNBBUSD,BNBBTC,BNBETH,BTCBUSD,DOGEBUSD,DOGEBTC,ETHBUSD,ETHBTC
418.70000000,0.00907500,0.12210000,46138.93000000,0.24570000,0.00000532,3431.03000000,0.07436000
417.80000000,0.00908800,0.12250000,45970.65000000,0.24510000,0.00000533,3408.67000000,0.07415900
410.90000000,0.00907000,0.12270000,45311.60000000,0.24130000,0.00000533,3352.01000000,0.07398100
408.10000000,0.00905300,0.12290000,45097.49000000,0.24030000,0.00000532,3320.98000000,0.07364600
408.70000000,0.00906200,0.12290000,45092.36000000,0.24090000,0.00000534,3329.37000000,0.07384200
407.00000000,0.00904000,0.12280000,45016.85000000,0.24060000,0.00000534,3312.07000000,0.07356700
407.40000000,0.00904300,0.12310000,45077.55000000,0.24050000,0.00000533,3313.31000000,0.07350300
409.90000000,0.00905200,0.12290000,45286.80000000,0.24170000,0.00000534,3336.34000000,0.07369200
412.30000000,0.00907900,0.12300000,45412.76000000,0.24290000,0.00000536,3354.07000000,0.07385600
411.70000000,0.00908000,0.12300000,45339.83000000,0.25090000,0.00000553,3348.01000000,0.07384100
414.40000000,0.00911500,0.12310000,45476.59000000,0.25130000,0.00000552,3367.56000000,0.07404600
415.80000000,0.00908500,0.12300000,45787.01000000,0.25300000,0.00000553,3380.25000000,0.07382900
418.80000000,0.00903200,0.12230000,46356.10000000,0.25480000,0.00000550,3426.69000000,0.07391400
419.20000000,0.00905900,0.12220000,46284.88000000,0.25220000,0.00000545,3427.87000000,0.07407600
418.00000000,0.00904600,0.12230000,46208.02000000,0.25170000,0.00000545,3421.62000000,0.07405900
416.30000000,0.00904600,0.12230000,46020.00000000,0.25030000,0.00000543,3404.44000000,0.07397600
418.90000000,0.00906800,0.12250000,46203.64000000,0.25110000,0.00000544,3421.56000000,0.07405500
417.00000000,0.00904600,0.12230000,46106.83000000,0.25080000,0.00000544,3406.94000000,0.07390400
414.50000000,0.00901800,0.12240000,45966.40000000,0.24770000,0.00000539,3386.56000000,0.07368000
414.60000000,0.00900500,0.12210000,46043.61000000,0.24790000,0.00000538,3394.74000000,0.07373400
408.30000000,0.00899100,0.12210000,45429.25000000,0.24550000,0.00000540,3346.31000000,0.07365900
408.20000000,0.00898800,0.12200000,45414.41000000,0.24400000,0.00000537,3347.54000000,0.07371800
406.70000000,0.00899600,0.12240000,45206.77000000,0.24330000,0.00000539,3323.70000000,0.07352600
407.30000000,0.00901700,0.12240000,45181.75000000,0.24390000,0.00000539,3329.16000000,0.07367600
407.60000000,0.00901600,0.12220000,45193.69000000,0.24360000,0.00000539,3335.71000000,0.07379900
404.70000000,0.00898300,0.12230000,45072.80000000,0.24220000,0.00000537,3311.14000000,0.07345800
403.90000000,0.00896000,0.12240000,45082.62000000,0.24220000,0.00000537,3300.13000000,0.07319900
402.10000000,0.00894600,0.12220000,44959.87000000,0.24150000,0.00000536,3291.09000000,0.07320000
401.70000000,0.00892500,0.12170000,45000.88000000,0.24090000,0.00000536,3297.73000000,0.07327600
401.80000000,0.00892300,0.12200000,45022.87000000,0.24120000,0.00000535,3295.10000000,0.07318500
400.30000000,0.00891500,0.12200000,44904.33000000,0.24050000,0.00000536,3282.24000000,0.07309900
397.40000000,0.00890700,0.12210000,44614.21000000,0.23880000,0.00000535,3257.95000000,0.07302400
398.70000000,0.00893700,0.12230000,44603.28000000,0.24000000,0.00000538,3259.38000000,0.07303700
399.00000000,0.00894100,0.12190000,44608.24000000,0.23990000,0.00000538,3269.85000000,0.07330600
399.70000000,0.00895900,0.12210000,44616.19000000,0.24000000,0.00000538,3273.87000000,0.07337500
400.20000000,0.00895300,0.12200000,44724.45000000,0.24040000,0.00000538,3279.38000000,0.07332400
397.70000000,0.00894700,0.12200000,44449.05000000,0.23830000,0.00000536,3257.98000000,0.07327200
399.40000000,0.00893500,0.12220000,44694.30000000,0.23950000,0.00000536,3265.78000000,0.07306100
400.30000000,0.00894200,0.12200000,44796.13000000,0.24020000,0.00000536,3283.63000000,0.07330600
400.50000000,0.00894700,0.12210000,44757.91000000,0.23980000,0.00000536,3280.90000000,0.07330800
400.70000000,0.00894900,0.12200000,44768.81000000,0.24010000,0.00000536,3284.40000000,0.07335400
400.70000000,0.00894200,0.12240000,44807.86000000,0.23970000,0.00000536,3274.60000000,0.07307700
401.00000000,0.00895200,0.12230000,44799.85000000,0.24000000,0.00000536,3279.87000000,0.07321700
401.40000000,0.00895800,0.12250000,44822.59000000,0.24020000,0.00000536,3279.25000000,0.07315900
401.20000000,0.00896700,0.12270000,44753.60000000,0.23940000,0.00000535,3269.71000000,0.07306400
394.30000000,0.00888400,0.12270000,44380.80000000,0.23570000,0.00000531,3212.78000000,0.07239400
393.50000000,0.00886600,0.12300000,44388.31000000,0.23460000,0.00000529,3199.20000000,0.07206900
393.50000000,0.00885000,0.12290000,44483.85000000,0.23540000,0.00000529,3204.46000000,0.07203900
